pump_combination                                                                                  , target_q, prevalence, power , pump      , speed , q  , pump_power
"{""grundfos_3"": 2302.0}"                                                                        ,       15,      64.0 ,  17.26, grundfos_3, 2302.0,  15,      17.26
"{""grundfos_1"": 2659.0}"                                                                        ,      199,      64.06,  47.56, grundfos_1, 2659.0, 199,      47.56
"{""grundfos_1"": 2789.0}"                                                                        ,      230,      64.01,  55.49, grundfos_1, 2789.0, 230,      55.49
"{""grundfos_1"": 2395.0}"                                                                        ,      106,      64.03,  29.3 , grundfos_1, 2395.0, 106,      29.3
"{""grundfos_1"": 2367.0}"                                                                        ,       88,      64.01,  26.33, grundfos_1, 2367.0,  88,      26.33
"{""grundfos_1"": 2585.0}"                                                                        ,      179,      64.04,  43.03, grundfos_1, 2585.0, 179,      43.03
"{""grundfos_3"": 2334.0}"                                                                        ,       57,      64.04,  21.74, grundfos_3, 2334.0,  57,      21.74
"{""grundfos_1"": 2376.0}"                                                                        ,       94,      64.04,  27.32, grundfos_1, 2376.0,  94,      27.32
"{""grundfos_1"": 2928.0}"                                                                        ,      259,      64.05,  64.16, grundfos_1, 2928.0, 259,      64.16
"{""grundfos_1"": 2564.0}"                                                                        ,      173,      64.0 ,  41.73, grundfos_1, 2564.0, 173,      41.73
"{""grundfos_1"": 2486.0}"                                                                        ,      147,      64.04,  36.6 , grundfos_1, 2486.0, 147,      36.6
"{""grundfos_1"": 2343.0}"                                                                        ,       67,      64.03,  23.13, grundfos_1, 2343.0,  67,      23.13
"{""grundfos_1"": 2724.0}"                                                                        ,      215,      64.05,  51.51, grundfos_1, 2724.0, 215,      51.51
"{""grundfos_1"": 2340.0}"                                                                        ,       64,      64.02,  22.7 , grundfos_1, 2340.0,  64,      22.7
"{""grundfos_1"": 2453.0}"                                                                        ,      134,      64.05,  34.21, grundfos_1, 2453.0, 134,      34.21
"{""grundfos_1"": 2393.0}"                                                                        ,      105,      64.02,  29.13, grundfos_1, 2393.0, 105,      29.13
{}                                                                                                ,      279,           ,       ,           ,       ,    ,        
"{""grundfos_1"": 2864.0}"                                                                        ,      246,      64.04,  60.14, grundfos_1, 2864.0, 246,      60.14
